,trialid,n1,n2,n3
1,1,8,1,3
2,1,1,3,NA
3,1,3,NA,NA
4,2,8,2,3
5,2,2,3,NA
6,2,3,NA,NA
7,3,8,2,4
8,3,2,4,NA
9,3,4,NA,NA
10,4,8,1,4
11,4,1,4,NA
12,4,4,NA,NA
13,5,9,5,1
14,5,5,1,4
15,5,1,4,NA
16,5,4,NA,NA
17,6,8,2,4
18,6,2,4,5
19,6,4,5,NA
20,6,5,NA,NA
21,7,9,5,2
22,7,5,2,4
23,7,2,4,NA
24,7,4,NA,NA
25,8,8,1,4
26,8,1,4,5
27,8,4,5,NA
28,8,5,NA,NA
29,9,9,6,2
30,9,6,2,3
31,9,2,3,NA
32,9,3,NA,NA
33,10,8,2,4
34,10,2,4,6
35,10,4,6,NA
36,10,6,NA,NA
37,11,9,5,1
38,11,5,1,3
39,11,1,3,NA
40,11,3,NA,NA
41,12,8,1,3
42,12,1,3,5
43,12,3,5,NA
44,12,5,NA,NA
45,13,8,2,3
46,13,2,3,6
47,13,3,6,NA
48,13,6,NA,NA
49,14,9,6,2
50,14,6,2,4
51,14,2,4,NA
52,14,4,NA,NA
53,15,9,6,1
54,15,6,1,3
55,15,1,3,NA
56,15,3,NA,NA
57,16,8,2,3
58,16,2,3,5
59,16,3,5,NA
60,16,5,NA,NA
61,17,9,5,2
62,17,5,2,3
63,17,2,3,NA
64,17,3,NA,NA
65,18,8,1,3
66,18,1,3,6
67,18,3,6,NA
68,18,6,NA,NA
69,19,9,6,1
70,19,6,1,4
71,19,1,4,NA
72,19,4,NA,NA
73,20,8,1,4
74,20,1,4,6
75,20,4,6,NA
76,20,6,NA,NA
77,21,9,5,1
78,21,5,1,3
79,21,1,3,5
80,21,3,5,NA
81,21,5,NA,NA
82,22,8,1,4
83,22,1,4,8
84,22,4,8,2
85,22,8,2,NA
86,22,2,NA,NA
87,23,8,1,3
88,23,1,3,8
89,23,3,8,2
90,23,8,2,NA
91,23,2,NA,NA
92,24,8,1,3
93,24,1,3,8
94,24,3,8,1
95,24,8,1,NA
